Product,Country,MonthStart,Year,Month,Quarter,Amount_lag_1,Amount_lag_2,Amount_lag_3,Amount_roll3,Boxes_Shipped_lag_1,Boxes_Shipped_lag_2,Boxes_Shipped_lag_3,Boxes_Shipped_roll3,Amount,Boxes_Shipped
Almond Choco,Canada,2025-01-01,2025,1,1,15412.95,1469.24,3631.78,6837.990000000001,171.0,29.0,71.0,90.33333333333333,6429.039460000011,42.49
Almond Choco,India,2025-01-01,2025,1,1,11793.4,10170.34,7455.17,9806.303333333335,101.0,253.0,383.0,245.66666666666666,6269.760929999992,167.655
Almond Choco,New Zealand,2025-01-01,2025,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12283.35500000013,262.0
Almond Choco,UK,2025-01-01,2025,1,1,0.0,27921.49,20225.82,16049.103333333333,0.0,254.0,360.0,204.66666666666666,2599.9620200000018,64.388
Almond Choco,USA,2025-01-01,2025,1,1,0.0,0.0,13786.87,4595.623333333334,0.0,0.0,85.0,28.333333333333332,8673.392199999998,458.665
Baker's Choco Chips,Australia,2025-01-01,2025,1,1,6881.19,0.0,3767.49,3549.56,285.0,0.0,65.0,116.66666666666667,10581.928990000002,620.611
Baker's Choco Chips,Canada,2025-01-01,2025,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16638.259999999835,137.5
Baker's Choco Chips,India,2025-01-01,2025,1,1,23045.89,0.0,6055.83,9700.573333333334,238.0,0.0,507.0,248.33333333333334,3502.45872,48.492
Baker's Choco Chips,New Zealand,2025-01-01,2025,1,1,1517.05,6790.41,3389.96,3899.1399999999994,147.0,26.0,115.0,96.0,5220.673939999998,41.588
Baker's Choco Chips,UK,2025-01-01,2025,1,1,0.0,0.0,302.25,100.75,0.0,0.0,154.0,51.333333333333336,3750.409799999973,298.363
Baker's Choco Chips,USA,2025-01-01,2025,1,1,33508.58,0.0,3083.39,12197.323333333334,556.0,0.0,55.0,203.66666666666666,2895.1925799999963,61.985
Caramel Stuffed Bars,Australia,2025-01-01,2025,1,1,0.0,12309.83,0.0,4103.276666666667,0.0,208.0,0.0,69.33333333333333,7082.855079999982,149.64
Caramel Stuffed Bars,Canada,2025-01-01,2025,1,1,18001.15,0.0,5093.92,7698.356666666667,227.0,0.0,524.0,250.33333333333334,3560.490689999998,231.298
Caramel Stuffed Bars,India,2025-01-01,2025,1,1,0.0,3041.22,7437.55,3492.9233333333336,0.0,381.0,54.0,145.0,5885.701509999999,327.873
Caramel Stuffed Bars,New Zealand,2025-01-01,2025,1,1,0.0,0.0,13467.4,4489.133333333333,0.0,0.0,421.0,140.33333333333334,3866.290850000003,443.716
Caramel Stuffed Bars,UK,2025-01-01,2025,1,1,9990.6,4198.08,12022.46,8737.046666666667,738.0,107.0,572.0,472.3333333333333,3760.454040000003,45.572
Caramel Stuffed Bars,USA,2025-01-01,2025,1,1,0.0,8900.8,0.0,2966.933333333333,0.0,580.0,0.0,193.33333333333334,6929.152959999991,70.92
Choco Coated Almonds,Australia,2025-01-01,2025,1,1,0.0,11987.26,0.0,3995.7533333333336,0.0,41.0,0.0,13.666666666666666,2809.7391800000005,22.474
Choco Coated Almonds,Canada,2025-01-01,2025,1,1,34149.64,9472.75,0.0,14540.796666666667,1389.0,547.0,0.0,645.3333333333334,2638.44546,271.99
Choco Coated Almonds,India,2025-01-01,2025,1,1,6272.03,0.0,0.0,2090.6766666666667,366.0,0.0,0.0,122.0,1283.2439000000004,6.078
Choco Coated Almonds,New Zealand,2025-01-01,2025,1,1,14722.35,0.0,2278.06,5666.803333333333,61.0,0.0,49.0,36.666666666666664,2717.2053200000023,246.796
Choco Coated Almonds,UK,2025-01-01,2025,1,1,9412.06,0.0,8166.799999999999,5859.62,123.0,0.0,391.0,171.33333333333334,6984.642460000005,61.714
Choco Coated Almonds,USA,2025-01-01,2025,1,1,0.0,0.0,16448.440000000002,5482.813333333334,0.0,0.0,143.0,47.666666666666664,4725.425469999994,80.316
Drinking Coco,Australia,2025-01-01,2025,1,1,0.0,17754.690000000002,1797.26,6517.316666666667,0.0,624.0,49.0,224.33333333333334,5978.14179,202.816
Drinking Coco,Canada,2025-01-01,2025,1,1,0.0,16134.69,5294.88,7143.19,0.0,430.0,679.0,369.6666666666667,3384.660249999998,53.889
Drinking Coco,India,2025-01-01,2025,1,1,503.52,34475.3,0.0,11659.606666666667,167.0,424.0,0.0,197.0,5399.520860000003,137.848
Drinking Coco,New Zealand,2025-01-01,2025,1,1,0.0,181.84,1666.46,616.1,0.0,167.0,98.0,88.33333333333333,5678.176340000016,567.505
Drinking Coco,UK,2025-01-01,2025,1,1,0.0,494.27,6173.15,2222.4733333333334,0.0,186.0,46.0,77.33333333333333,4098.8075599999975,260.904
Drinking Coco,USA,2025-01-01,2025,1,1,0.0,7720.37,10679.760000000002,6133.376666666667,0.0,156.0,422.0,192.66666666666666,5415.5442800000055,62.226
Eclairs,Australia,2025-01-01,2025,1,1,11293.17,12821.31,10357.3,11490.593333333332,219.0,159.0,98.0,158.66666666666666,4100.884519999999,64.5
Eclairs,Canada,2025-01-01,2025,1,1,337.37,0.0,0.0,112.45666666666666,120.0,0.0,0.0,40.0,8224.464339999986,580.842
Eclairs,India,2025-01-01,2025,1,1,6096.53,13568.89,19936.43,13200.616666666667,344.0,501.0,540.0,461.6666666666667,5146.311539999997,134.334
Eclairs,New Zealand,2025-01-01,2025,1,1,0.0,5270.33,0.0,1756.7766666666666,0.0,323.0,0.0,107.66666666666667,10510.778220000011,114.944
Eclairs,UK,2025-01-01,2025,1,1,1955.2,0.0,5776.61,2577.27,250.0,0.0,114.0,121.33333333333333,5497.789390000005,219.028
Eclairs,USA,2025-01-01,2025,1,1,8995.93,4449.37,4879.55,6108.283333333333,133.0,113.0,427.0,224.33333333333334,7070.990540000012,60.32
Fruit & Nut Bars,Australia,2025-01-01,2025,1,1,317.36,0.0,41701.89,14006.416666666666,337.0,0.0,283.0,206.66666666666666,2142.7710400000014,123.592
Fruit & Nut Bars,Canada,2025-01-01,2025,1,1,4235.71,9885.53,7216.459999999999,7112.566666666666,382.0,217.0,273.0,290.6666666666667,5242.839259999999,142.914
Fruit & Nut Bars,India,2025-01-01,2025,1,1,0.0,6820.47,0.0,2273.4900000000002,0.0,200.0,0.0,66.66666666666667,2421.659820000003,263.845
Fruit & Nut Bars,New Zealand,2025-01-01,2025,1,1,9693.37,7736.85,9759.53,9063.25,4.0,95.0,424.0,174.33333333333334,4704.227420000004,114.826
Fruit & Nut Bars,UK,2025-01-01,2025,1,1,0.0,0.0,27737.6,9245.866666666667,0.0,0.0,655.0,218.33333333333334,1533.8156700000009,105.788
Fruit & Nut Bars,USA,2025-01-01,2025,1,1,0.0,11945.789999999999,11509.86,7818.55,0.0,887.0,408.0,431.6666666666667,4188.781050000005,118.226
Manuka Honey Choco,Australia,2025-01-01,2025,1,1,5245.6,0.0,0.0,1748.5333333333335,144.0,0.0,0.0,48.0,6482.153170000004,322.499
Manuka Honey Choco,Canada,2025-01-01,2025,1,1,11423.81,5538.85,0.0,5654.22,452.0,492.0,0.0,314.6666666666667,5724.988060000011,143.157
Manuka Honey Choco,India,2025-01-01,2025,1,1,0.0,2696.1,0.0,898.6999999999999,0.0,605.0,0.0,201.66666666666666,8164.377440000012,80.764
Manuka Honey Choco,New Zealand,2025-01-01,2025,1,1,0.0,5795.75,31469.01,12421.586666666664,0.0,512.0,619.0,377.0,2116.8755000000037,53.75
Manuka Honey Choco,UK,2025-01-01,2025,1,1,3768.3,0.0,29580.31,11116.203333333333,212.0,0.0,379.0,197.0,2065.538740000002,103.396
Manuka Honey Choco,USA,2025-01-01,2025,1,1,2415.8900000000003,21206.2,0.0,7874.03,209.0,514.0,0.0,241.0,3150.4146000000014,36.09
Milk Bars,Australia,2025-01-01,2025,1,1,0.0,8184.33,34280.79,14155.04,0.0,584.0,760.0,448.0,2224.9280200000003,57.652
Milk Bars,Canada,2025-01-01,2025,1,1,0.0,18241.41,0.0,6080.47,0.0,61.0,0.0,20.333333333333332,5592.212839999997,101.49
Milk Bars,India,2025-01-01,2025,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milk Bars,New Zealand,2025-01-01,2025,1,1,5306.48,0.0,0.0,1768.8266666666666,128.0,0.0,0.0,42.666666666666664,5649.760419999995,348.766
Milk Bars,UK,2025-01-01,2025,1,1,334.81,11822.25,0.0,4052.353333333333,66.0,335.0,0.0,133.66666666666666,8563.000820000005,347.435
Milk Bars,USA,2025-01-01,2025,1,1,0.0,24070.690000000002,20725.739999999998,14932.143333333333,0.0,388.0,268.0,218.66666666666666,3120.240879999999,95.338
Mint Chip Choco,Australia,2025-01-01,2025,1,1,7571.51,0.0,0.0,2523.8366666666666,26.0,0.0,0.0,8.666666666666666,4936.312849999997,260.244
Mint Chip Choco,Canada,2025-01-01,2025,1,1,0.0,8936.91,0.0,2978.97,0.0,442.0,0.0,147.33333333333334,3996.4151200000033,158.517
Mint Chip Choco,India,2025-01-01,2025,1,1,10270.4,14756.329999999998,0.0,8342.243333333332,198.0,308.0,0.0,168.66666666666666,6651.456589999998,361.253
Mint Chip Choco,New Zealand,2025-01-01,2025,1,1,12595.71,0.0,32155.46,14917.056666666665,439.0,0.0,714.0,384.3333333333333,3364.312199999997,327.553
Mint Chip Choco,UK,2025-01-01,2025,1,1,0.0,6788.3,6767.42,4518.573333333334,0.0,536.0,2.0,179.33333333333334,6360.757579999996,189.642
Mint Chip Choco,USA,2025-01-01,2025,1,1,5679.57,0.0,0.0,1893.1899999999998,285.0,0.0,0.0,95.0,4573.116520000001,19.622
Orange Choco,Australia,2025-01-01,2025,1,1,0.0,4335.400000000001,10322.19,4885.863333333334,0.0,257.0,182.0,146.33333333333334,5150.637420000001,72.578
Orange Choco,Canada,2025-01-01,2025,1,1,0.0,0.0,12620.13,4206.71,0.0,0.0,547.0,182.33333333333334,5514.799779999997,293.14
Orange Choco,India,2025-01-01,2025,1,1,0.0,0.0,24655.04,8218.346666666666,0.0,0.0,352.0,117.33333333333333,2933.436540000004,67.166
Orange Choco,New Zealand,2025-01-01,2025,1,1,2204.17,0.0,9420.22,3874.7966666666666,145.0,0.0,94.0,79.66666666666667,6536.527520000001,61.28
Orange Choco,UK,2025-01-01,2025,1,1,4010.08,0.0,19442.64,7817.573333333334,3.0,0.0,410.0,137.66666666666666,2429.7580600000006,54.276
Orange Choco,USA,2025-01-01,2025,1,1,0.0,437.48,2942.29,1126.59,0.0,174.0,229.0,134.33333333333334,8829.45966000002,318.528
Organic Choco Syrup,Australia,2025-01-01,2025,1,1,22943.37,23241.72,3717.35,16634.146666666667,14.0,522.0,322.0,286.0,6838.923539999999,292.489
Organic Choco Syrup,Canada,2025-01-01,2025,1,1,0.0,4779.0199999999995,0.0,1593.0066666666664,0.0,610.0,0.0,203.33333333333334,11795.027960000003,291.946
Organic Choco Syrup,India,2025-01-01,2025,1,1,0.0,6468.82,9789.56,5419.46,0.0,59.0,181.0,80.0,9601.019180000001,311.277
Organic Choco Syrup,New Zealand,2025-01-01,2025,1,1,0.0,23789.9,0.0,7929.966666666667,0.0,413.0,0.0,137.66666666666666,10032.436900000004,583.484
Organic Choco Syrup,UK,2025-01-01,2025,1,1,2303.39,13518.0,8471.68,8097.69,222.0,226.0,162.0,203.33333333333334,4233.622639999999,49.62
Organic Choco Syrup,USA,2025-01-01,2025,1,1,2495.71,34258.32,0.0,12251.343333333332,310.0,296.0,0.0,202.0,5053.503840000002,52.774
Peanut Butter Cubes,Australia,2025-01-01,2025,1,1,352.51,0.0,6623.03,2325.18,196.0,0.0,39.0,78.33333333333333,5624.656719999998,51.144
Peanut Butter Cubes,Canada,2025-01-01,2025,1,1,3691.6,21467.16,24025.42,16394.726666666666,154.0,305.0,564.0,341.0,3711.8316000000036,101.176
Peanut Butter Cubes,India,2025-01-01,2025,1,1,0.0,19261.9,0.0,6420.633333333334,0.0,378.0,0.0,126.0,13794.012380000044,385.692
Peanut Butter Cubes,New Zealand,2025-01-01,2025,1,1,8950.59,1754.64,1119.94,3941.7233333333334,189.0,62.0,283.0,178.0,7150.308060000005,296.117
Peanut Butter Cubes,UK,2025-01-01,2025,1,1,15468.82,5267.69,0.0,6912.169999999999,262.0,120.0,0.0,127.33333333333333,12091.84396,103.4
Peanut Butter Cubes,USA,2025-01-01,2025,1,1,15722.43,10463.57,782.24,8989.413333333332,351.0,109.0,348.0,269.3333333333333,6234.093340000005,59.07
Raspberry Choco,Australia,2025-01-01,2025,1,1,7702.92,7023.94,813.41,5180.09,246.0,89.0,58.0,131.0,5963.583239999996,235.198
Raspberry Choco,Canada,2025-01-01,2025,1,1,4722.39,0.0,7336.969999999999,4019.786666666667,258.0,0.0,394.0,217.33333333333334,6212.725540000001,65.73
Raspberry Choco,India,2025-01-01,2025,1,1,0.0,4758.69,20714.08,8490.923333333334,0.0,10.0,406.0,138.66666666666666,2442.3875,56.68
Raspberry Choco,New Zealand,2025-01-01,2025,1,1,1983.3999999999999,7667.99,0.0,3217.1299999999997,243.0,69.0,0.0,104.0,3447.3398000000016,58.042
Raspberry Choco,UK,2025-01-01,2025,1,1,22502.28,0.0,0.0,7500.759999999999,762.0,0.0,0.0,254.0,2839.1736000000005,142.79
Raspberry Choco,USA,2025-01-01,2025,1,1,0.0,0.0,15531.78,5177.26,0.0,0.0,22.0,7.333333333333333,6309.5777,392.858
Smooth Sliky Salty,Australia,2025-01-01,2025,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24285.294999999936,833.0
Smooth Sliky Salty,Canada,2025-01-01,2025,1,1,2901.91,7422.91,5594.84,5306.553333333333,12.0,213.0,174.0,133.0,13690.464330000003,246.284
Smooth Sliky Salty,India,2025-01-01,2025,1,1,27382.7,3429.85,6429.35,12413.966666666667,253.0,9.0,40.0,100.66666666666667,6350.514220000007,53.17
Smooth Sliky Salty,New Zealand,2025-01-01,2025,1,1,0.0,9261.26,12666.47,7309.243333333333,0.0,65.0,102.0,55.666666666666664,10230.19054,254.344
Smooth Sliky Salty,UK,2025-01-01,2025,1,1,1588.49,6503.75,9571.3,5887.846666666667,111.0,116.0,594.0,273.6666666666667,10088.122519999988,168.486
Smooth Sliky Salty,USA,2025-01-01,2025,1,1,0.0,28523.149999999998,0.0,9507.716666666665,0.0,531.0,0.0,177.0,9152.042040000006,143.976
Spicy Special Slims,Australia,2025-01-01,2025,1,1,0.0,0.0,21163.71,7054.57,0.0,0.0,597.0,199.0,3518.5547999999976,246.323
Spicy Special Slims,Canada,2025-01-01,2025,1,1,15584.04,13644.0,911.46,10046.5,463.0,281.0,126.0,290.0,5798.736000000001,256.322
Spicy Special Slims,India,2025-01-01,2025,1,1,9869.27,12562.81,13378.48,11936.853333333333,378.0,101.0,235.0,238.0,8419.17858000001,165.993
Spicy Special Slims,New Zealand,2025-01-01,2025,1,1,695.32,8755.31,9609.42,6353.349999999999,68.0,38.0,268.0,124.66666666666667,5127.21371,364.196
Spicy Special Slims,UK,2025-01-01,2025,1,1,15595.630000000001,0.0,0.0,5198.543333333334,173.0,0.0,0.0,57.666666666666664,2754.2413799999995,55.034
Spicy Special Slims,USA,2025-01-01,2025,1,1,0.0,1679.89,2319.1,1332.9966666666667,0.0,287.0,189.0,158.66666666666666,7140.5888399999985,106.618
White Choc,Australia,2025-01-01,2025,1,1,15706.26,20138.13,2659.78,12834.723333333333,191.0,536.0,178.0,301.6666666666667,3481.987860000001,61.91
White Choc,Canada,2025-01-01,2025,1,1,8578.4,17560.88,0.0,8713.093333333332,15.0,183.0,0.0,66.0,5599.638999999994,155.9
White Choc,India,2025-01-01,2025,1,1,12998.67,10535.86,0.0,7844.843333333333,317.0,877.0,0.0,398.0,6825.870479999997,187.998
White Choc,New Zealand,2025-01-01,2025,1,1,11572.5,10113.4,19532.940000000002,13739.613333333335,51.0,155.0,445.0,217.0,8935.106639999993,68.038
White Choc,UK,2025-01-01,2025,1,1,8338.51,1959.22,20532.36,10276.696666666669,270.0,70.0,733.0,357.6666666666667,6825.053039999979,272.677
White Choc,USA,2025-01-01,2025,1,1,21636.52,2438.56,7339.32,10471.466666666667,145.0,61.0,121.0,109.0,6313.667879999998,56.566
50% Dark Bites,Australia,2025-02-01,2025,2,1,4439.4240799999925,36718.31,9074.919999999998,16744.218026666662,541.866,252.0,140.0,311.28866666666664,3329.303159999994,127.204
50% Dark Bites,Canada,2025-02-01,2025,2,1,5801.48979,0.0,14165.59,6655.693263333334,95.202,0.0,366.0,153.734,6845.913580000005,185.32
50% Dark Bites,India,2025-02-01,2025,2,1,5968.556500000003,13731.44,14646.32,11448.77216666667,73.575,82.0,567.0,240.85833333333335,7918.0386999999955,137.95
50% Dark Bites,New Zealand,2025-02-01,2025,2,1,6227.024039999991,0.0,4332.41,3519.8113466666637,108.968,0.0,10.0,39.656,2620.8683300000002,45.533
50% Dark Bites,UK,2025-02-01,2025,2,1,7863.494450000001,2930.4,8937.37,6577.0881500000005,360.45,344.0,66.0,256.81666666666666,9610.739990000005,197.536
50% Dark Bites,USA,2025-02-01,2025,2,1,7925.774520000005,77.1,2941.65,3648.174840000002,154.477,26.0,360.0,180.159,11358.267780000015,259.723
70% Dark Bites,Australia,2025-02-01,2025,2,1,7639.500159999982,1624.86,0.0,3088.120053333327,250.508,103.0,0.0,117.83600000000001,9307.295419999982,297.545
70% Dark Bites,Canada,2025-02-01,2025,2,1,3731.0794400000023,0.0,10791.08,4840.719813333334,206.6,0.0,166.0,124.2,3083.953469999996,169.916
70% Dark Bites,India,2025-02-01,2025,2,1,4130.855779999999,0.0,2453.44,2194.7652599999997,265.18,0.0,43.0,102.72666666666667,4423.457579999999,68.71
70% Dark Bites,New Zealand,2025-02-01,2025,2,1,3877.8605399999965,941.61,0.0,1606.4901799999989,24.252,320.0,0.0,114.75066666666667,6374.516199999989,271.958
70% Dark Bites,UK,2025-02-01,2025,2,1,2715.88286,0.0,0.0,905.2942866666667,62.944,0.0,0.0,20.981333333333335,5040.579719999983,251.01
70% Dark Bites,USA,2025-02-01,2025,2,1,5902.579460000027,0.0,0.0,1967.5264866666757,191.474,0.0,0.0,63.824666666666666,2836.27811,29.618
85% Dark Bars,Australia,2025-02-01,2025,2,1,5770.507980000005,7565.6,4590.0,5975.369326666668,49.946,308.0,78.0,145.31533333333334,6356.938640000001,173.859
85% Dark Bars,Canada,2025-02-01,2025,2,1,2805.243760000002,11719.06,0.0,4841.434586666667,14.814,87.0,0.0,33.937999999999995,9497.246689999996,234.152
85% Dark Bars,India,2025-02-01,2025,2,1,9577.396799999997,30049.940000000002,12481.83,17369.722266666668,253.501,300.0,313.0,288.83366666666666,9580.233939999996,97.164
85% Dark Bars,New Zealand,2025-02-01,2025,2,1,6134.561559999998,32771.24,0.0,12968.600519999998,90.978,195.0,0.0,95.32600000000001,2879.5669700000003,225.48
85% Dark Bars,UK,2025-02-01,2025,2,1,3199.939220000001,0.0,10749.31,4649.74974,52.336,0.0,206.0,86.11200000000001,3682.464159999999,64.428
85% Dark Bars,USA,2025-02-01,2025,2,1,3237.803019999999,27941.239999999998,0.0,10393.01434,41.73,452.0,0.0,164.57666666666668,3830.4516799999983,120.84
99% Dark & Pure,Australia,2025-02-01,2025,2,1,8895.569430000003,17050.38,3356.17,9767.373143333336,334.378,520.0,111.0,321.79266666666666,4880.833150000005,76.682
99% Dark & Pure,Canada,2025-02-01,2025,2,1,5714.9671000000035,9749.75,14990.79,10151.835700000001,59.304,475.0,7.0,180.43466666666666,4893.666059999999,157.476
99% Dark & Pure,India,2025-02-01,2025,2,1,3956.69056,227.55,12398.37,5527.536853333334,31.976,225.0,161.0,139.32533333333333,4597.4086199999965,150.406
99% Dark & Pure,New Zealand,2025-02-01,2025,2,1,4610.7833,2499.92,0.0,2370.2344333333335,47.156,44.0,0.0,30.385333333333335,6738.110340000002,138.408
99% Dark & Pure,UK,2025-02-01,2025,2,1,7497.717899999998,7494.41,1258.54,5416.8893,556.101,246.0,72.0,291.367,9396.754180000004,112.336
99% Dark & Pure,USA,2025-02-01,2025,2,1,3162.9495400000033,12988.09,21086.739999999998,12412.593180000002,160.135,568.0,364.0,364.045,1739.5502800000013,95.429
After Nines,Australia,2025-02-01,2025,2,1,5930.852219999995,2600.1299999999997,0.0,2843.660739999998,73.858,168.0,0.0,80.61933333333333,5093.0978599999935,135.4
After Nines,Canada,2025-02-01,2025,2,1,9313.51718000001,9746.29,5384.52,8148.109060000003,513.596,407.0,180.0,366.86533333333335,4782.054079999999,65.17
After Nines,India,2025-02-01,2025,2,1,3863.990919999997,13808.46,12374.91,10015.786973333332,360.262,270.0,305.0,311.75399999999996,8569.217980000001,79.22
After Nines,New Zealand,2025-02-01,2025,2,1,7700.566940000002,14484.02,1416.15,7866.912313333334,162.207,161.0,165.0,162.73566666666667,5502.219379999999,82.588
After Nines,UK,2025-02-01,2025,2,1,7383.909579999992,0.0,6263.219999999999,4549.04319333333,170.796,0.0,501.0,223.93200000000002,4072.199359999999,88.852
After Nines,USA,2025-02-01,2025,2,1,6490.935130000005,4273.09,709.25,3824.425043333335,228.844,280.0,263.0,257.28133333333335,8898.310379999999,102.172
Almond Choco,Australia,2025-02-01,2025,2,1,5449.161709999994,9358.09,11266.59,8691.280569999997,332.746,250.0,214.0,265.582,7612.726259999986,215.7
Almond Choco,Canada,2025-02-01,2025,2,1,6429.039460000011,15412.95,1469.24,7770.409820000004,42.49,171.0,29.0,80.83,4914.826299999996,113.21
Almond Choco,India,2025-02-01,2025,2,1,6269.760929999992,11793.4,10170.34,9411.166976666664,167.655,101.0,253.0,173.885,6854.930919999994,123.6
Almond Choco,New Zealand,2025-02-01,2025,2,1,12283.35500000013,0.0,0.0,4094.45166666671,262.0,0.0,0.0,87.33333333333333,0.0,0.0
Almond Choco,UK,2025-02-01,2025,2,1,2599.9620200000018,0.0,27921.49,10173.817340000001,64.388,0.0,254.0,106.12933333333335,3026.0581400000015,89.856
Almond Choco,USA,2025-02-01,2025,2,1,8673.392199999998,0.0,0.0,2891.130733333333,458.665,0.0,0.0,152.88833333333335,6313.583050000023,229.813
Baker's Choco Chips,Australia,2025-02-01,2025,2,1,10581.928990000002,6881.19,0.0,5821.039663333334,620.611,285.0,0.0,301.87033333333335,5579.34204,85.39
Baker's Choco Chips,Canada,2025-02-01,2025,2,1,16638.259999999835,0.0,0.0,5546.086666666612,137.5,0.0,0.0,45.833333333333336,11631.29701999993,166.78
Baker's Choco Chips,India,2025-02-01,2025,2,1,3502.45872,23045.89,0.0,8849.449573333333,48.492,238.0,0.0,95.49733333333334,6922.559340000001,142.38
